Code,Yahoo ticker,Name,Full name,Industry code,Issued shares,Market,Industry,Asset type,Fund type,Detailed industry,Investment theme,Supply-chain role
00993A,00993A.TW,主動安聯台灣,安聯台灣主動式ETF證券投資信託基金,ETF,785091000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00994A,00994A.TW,主動第一金台股優,第一金台股趨勢優選主動式ETF證券投資信託基金,ETF,292690000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00995A,00995A.TW,主動中信台灣卓越,中國信託台灣卓越成長主動式ETF證券投資信託基金,ETF,283535000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00996A,00996A.TW,主動兆豐台灣豐收,兆豐台灣豐收主動式ETF 證券投資信託基&#63754;,ETF,307899000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00997A,00997A.TW,主動群益美國增長,群益美國增長主動式ETF證券投資信託基金,ETF,1162377000,上市,主動式 ETF,ETF,國外成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00999A,00999A.TW,主動野村臺灣高息,野村臺灣策略高息主動式ETF證券投資信託基金,ETF,1038517000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00680L,00680L.TW,元大美債20正2,元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日正向2倍證券投資信託基金,ETF,1463076000,上市,債券 ETF,ETF,槓桿/反向指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00681R,00681R.TW,元大美債20反1,元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日反向1倍證券投資信託基金,ETF,7594000,上市,債券 ETF,ETF,槓桿/反向指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00688L,00688L.TW,國泰20年美債正2,國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日正向2倍證券投資信託基金,ETF,628115000,上市,債券 ETF,ETF,槓桿/反向指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00689R,00689R.TW,國泰20年美債反1,國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日反向1倍證券投資信託基金,ETF,6889000,上市,債券 ETF,ETF,槓桿/反向指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00710B,00710B.TW,復華彭博非投等債,復華全球收益ETF傘型證券投資信託基金之復華1至5年期非投資等級債券證券投資信託基金,ETF,179761000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00711B,00711B.TW,復華彭博新興債,復華全球收益ETF傘型證券投資信託基金之復華新興市場10年期以上債券證券投資信託基金,ETF,871761000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00775B,00775B.TW,台新投等債15+,台新全方位收益ETF傘型證券投資信託基金之台新富時15年以上特選產業美元投資等級債券ETF證券投資信託基金,ETF,232100000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00865B,00865B.TW,國泰US短期公債,國泰美國收益傘型證券投資信託基金之美國短期公債ETF證券投資信託基金,ETF,299744000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00945B,00945B.TW,凱基美國非投等債,凱基美國優選收益非投資等級債券ETF證券投資信託基金,ETF,818318000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00953B,00953B.TW,群益優選非投等債,群益優選收益非投資等級債券ETF證券投資信託基金,ETF,4328175000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00982D,00982D.TW,主動富邦動態入息,富邦優選收益傘型證券投資信託基金之富邦環球動態入息投資級債主動式ETF證券投資信託基金,ETF,76229000,上市,債券 ETF,ETF,國外成分證券主動式交易所交易基金(債券),債券 ETF,債券 ETF,ETF 投資工具
00983D,00983D.TW,主動富邦複合收益,富邦優選收益傘型證券投資信託基金之富邦環球複合優選收益債主動式ETF證券投資信託基金,ETF,102697000,上市,債券 ETF,ETF,國外成分證券主動式交易所交易基金(債券),債券 ETF,債券 ETF,ETF 投資工具
00984D,00984D.TW,主動聯博全球非投,聯博優選全球非投資等級債券主動式ETF證券投資信託基金,ETF,981057000,上市,債券 ETF,ETF,國外成分證券主動式交易所交易基金(債券),債券 ETF,債券 ETF,ETF 投資工具
00985B,00985B.TW,群益ESG投等債0-5,群益0-5年期ESG投資等級公司債ETF證券投資信託基金,ETF,631001000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
00991B,00991B.TW,貝萊德A級公司債,貝萊德iShares安碩10年期以上A級美元公司債ETF證券投資信託基金,ETF,226828000,上市,債券 ETF,ETF,國外成分證券指數股票型基金,債券 ETF,債券 ETF,ETF 投資工具
0050,0050.TW,元大台灣50,元大台灣卓越50證券投資信託基金,ETF,22338500000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0051,0051.TW,元大中型100,元大台灣中型100證券投資信託基金,ETF,24500000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0052,0052.TW,富邦科技,富邦台灣科技指數證券投資信託基金,ETF,2595500000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0053,0053.TW,元大電子,元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,ETF,9988000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0055,0055.TW,元大MSCI金融,元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,ETF,85154000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0056,0056.TW,元大高股息,元大台灣高股息證券投資信託基金,ETF,14158534000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0057,0057.TW,富邦摩台,富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金,ETF,1527000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
0061,0061.TW,元大寶滬深,元大標智滬深300證券投資信託基金,ETF,96116000,上市,台灣股票 ETF,ETF,連結式證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
