Industry,Constituents,1D net value,5D net value,20D net value,Foreign 1D value,Trust 1D value,Dealer 1D value,Foreign 5D value,Trust 5D value,Dealer 5D value,Foreign 20D value,Trust 20D value,Dealer 20D value,Market cap proxy,1D return,5D return,20D return,1D positive breadth,5D positive breadth,20D positive breadth,1D flow intensity,5D flow intensity,20D flow intensity,Trust 1D intensity,Trust 5D intensity,Trust 20D intensity,Positive flow breadth,Flow score,Stage,Leading stocks,Dominant investor,Dominant flow value,Flow acceleration,Top 3 concentration,Research action,Flow reason,Signal date
生技醫療,156,17503013.47173977,-1062713458.29424,-15083975004.12381,-97875032.82509995,-24488002.744758606,139866049.04159832,-11661982748.788404,10439107336.728233,160161953.76593113,-24055880764.422955,9047276251.27903,-75370490.97988525,1751151214347.574,0.004213270106815836,0.013406686648182911,-0.006607338692001175,0.48717948717948717,0.6025641025641025,0.4358974358974359,9.995146808758525e-06,-0.0006068656147951078,-0.008613747848008457,-1.3983945272186043e-05,0.005961282641497942,0.005166473447382881,0.4358974358974359,35.36585365853659,資金撤出,7799.TW、4736.TW、4771.TW,外資,-24055880764.422955,2708280292.7367125,0.7429677677949774,排除逆勢加碼，檢查既有部位風險,外資主導淨流出（20日 -240.6億）；近5日相較20日均速加速；流入廣度 44%；前三大帶動標的占絕對流量 74%；價格尚未確認（20日 -0.7%）。主要標的：7799.TW、4736.TW、4771.TW。,2026-09-23
觀光餐旅,49,9198474.225934982,1297773.9283885956,-357849718.5004597,27688360.079296112,-11747960.0,-6741925.85336113,31857572.68176937,-10193421.0,-20366377.753380775,-237101180.36432552,-61250456.0,-59498082.13613415,208175140516.9197,-0.0006877651810894179,0.0018081049361964533,-0.024677424779404496,0.3877551020408163,0.5306122448979592,0.40816326530612246,4.418622801499857e-05,6.234048528398218e-06,-0.0017189839171568853,-5.643305906184879e-05,-4.896560163086099e-05,-0.0002942256018077326,0.40816326530612246,34.146341463414636,早期轉入,5706.TW、7757.TWO、2731.TW,外資,-237101180.36432552,90760203.55350351,0.6454488711981683,列入觀察，等待中期流量或價格確認,外資主導淨流出（20日 -2.4億）；近5日相較20日均速加速；流入廣度 41%；前三大帶動標的占絕對流量 65%；價格尚未確認（20日 -2.5%）。主要標的：5706.TW、7757.TWO、2731.TW。,2026-09-23
通信網路業,90,-2550489419.351528,-10863895914.403713,-2621293862.500141,-322398100.04853153,-2807462402.5,579371083.1970034,-7647904911.008187,-4822297327.475098,1606306324.0795708,6136182533.799234,-8709845394.769432,-47631001.52994418,4495167477110.17,-0.004093421194100117,0.019739342574950507,0.020628390449528036,0.5888888888888889,0.5777777777777777,0.4444444444444444,-0.0005673847375740433,-0.0024167944731144564,-0.0005831359734310289,-0.0006245512356983075,-0.001072773673512879,-0.0019376019779287006,0.4444444444444444,33.65853658536586,資金撤出,6426.TW、6218.TWO、3045.TW,投信,-8709845394.769432,-10208572448.778679,0.5813110829595708,排除逆勢加碼，檢查既有部位風險,投信主導淨流出（20日 -87.1億）；近5日相較20日均速減速；流入廣度 44%；前三大帶動標的占絕對流量 58%；價格已確認（20日 +2.1%）。主要標的：6426.TW、6218.TWO、3045.TW。,2026-09-23
居家生活,33,25160731.184923172,-325435515.4132433,-829575857.3684587,20136021.45771408,4573067.226982117,451642.5002269745,-395828823.40223885,65883069.96348572,4510238.025509834,-963584954.4204845,141900785.58103943,-7891688.529013634,307049555267.31885,-0.0016701384070128909,0.0020223731377627505,-0.025523459181359454,0.2727272727272727,0.5151515151515151,0.42424242424242425,8.194355195537775e-05,-0.0010598794553860127,-0.002701765376752381,1.4893580363602162e-05,0.00021456819862880958,0.0004621429445077682,0.42424242424242425,32.6829268292683,資金撤出,8464.TW、8066.TWO、3171.TWO,外資,-963584954.4204845,-118041551.0711286,0.9174824780760171,排除逆勢加碼，檢查既有部位風險,外資主導淨流出（20日 -9.6億）；近5日相較20日均速減速；流入廣度 42%；前三大帶動標的占絕對流量 92%；價格尚未確認（20日 -2.6%）。主要標的：8464.TW、8066.TWO、3171.TWO。,2026-09-23
台灣股票 ETF,71,-4286669331.5115757,-5139735317.142361,-57929277315.758606,-2478710795.7067585,294384891.4260864,-2102343427.2309036,-811203322.1418629,1549528545.3834534,-5878060540.383951,-5599207801.083438,2978052992.916107,-55308122507.59128,6744112946999.862,0.0036075230688839594,0.03652954711421347,0.04545488074266362,0.5352112676056338,0.7464788732394366,0.676056338028169,-0.0006356164799135686,-0.000762106945351321,-0.008589606634854568,4.3650646680975944e-05,0.00022976017121314161,0.00044157816103019187,0.676056338028169,32.4390243902439,資金撤出,00947.TW、00900.TW、00923.TW,自營商,-55308122507.59128,9342584011.79729,0.627536892015929,排除逆勢加碼，檢查既有部位風險,自營商主導淨流出（20日 -553.1億）；近5日相較20日均速加速；流入廣度 68%；前三大帶動標的占絕對流量 63%；價格已確認（20日 +4.5%）。主要標的：00947.TW、00900.TW、00923.TW。,2026-09-23
海外股票 ETF,98,675213735.9972534,-172317558.43668652,-19892041912.75962,953173539.668972,12624600.276947021,-290584403.9486656,2757675731.9703856,80944011.15989685,-3010937301.566969,1713094660.0087137,308875679.38423157,-21914012252.152565,1083913607015.2594,0.013187499648280067,0.030941118369211144,0.009648412364691347,0.6224489795918368,0.7142857142857143,0.5918367346938775,0.0006229405476849482,-0.00015897720752043351,-0.018352054798477662,1.1647238483988597e-05,7.467754868655073e-05,0.00028496337474235916,0.5918367346938775,29.51219512195122,資金撤出,009824.TW、00909.TW、009820.TW,自營商,-21914012252.152565,4800692919.753219,0.49054996241704046,排除逆勢加碼，檢查既有部位風險,自營商主導淨流出（20日 -219.1億）；近5日相較20日均速加速；流入廣度 59%；前三大帶動標的占絕對流量 49%；價格已確認（20日 +1.0%）。主要標的：009824.TW、00909.TW、009820.TW。,2026-09-23
橡膠工業,11,131371738.13427734,29776997.666524887,-818619892.4815712,122942124.87032127,4635400.058746338,3794213.205209732,106672.59429359436,13093092.143724442,16577232.928506851,-818660388.2465506,-10983314.737602234,11023810.502581596,214672048982.5993,0.0118441687921457,0.014521658009734505,-0.026360490571781945,0.8181818181818182,0.5454545454545454,0.45454545454545453,0.0006119648028557549,0.0001387092442059773,-0.003813351092334923,2.1592937136972454e-05,6.09911360411235e-05,-5.11632268367295e-05,0.45454545454545453,28.78048780487805,早期轉入,2104.TW、2103.TW、2109.TW,外資,-818660388.2465506,234431970.7869177,0.7560495215337026,列入觀察，等待中期流量或價格確認,外資主導淨流出（20日 -8.2億）；近5日相較20日均速加速；流入廣度 45%；前三大帶動標的占絕對流量 76%；價格尚未確認（20日 -2.6%）。主要標的：2104.TW、2103.TW、2109.TW。,2026-09-23
其他,93,-362512347.2725277,-2374871360.864937,-4499761038.118022,-520300478.8287039,167026684.29253006,-9238552.736353874,-2592575462.800536,174899723.12380886,42804378.81179047,-4956760930.75085,648025599.9744864,-191025707.3416586,939740422342.1384,-2.8910742609683096e-05,0.013391098098523421,-0.0010789047991791722,0.3548387096774194,0.5268817204301075,0.4946236559139785,-0.0003857579589574631,-0.00252715675989119,-0.004788302100385504,0.0001777370434659449,0.00018611493021434785,0.0006895793610318433,0.4946236559139785,26.585365853658537,資金撤出,6199.TWO、5209.TWO、6957.TW,外資,-4956760930.75085,-1249931101.3354313,0.6719096349879483,排除逆勢加碼，檢查既有部位風險,外資主導淨流出（20日 -49.6億）；近5日相較20日均速減速；流入廣度 49%；前三大帶動標的占絕對流量 67%；價格尚未確認（20日 -0.1%）。主要標的：6199.TWO、5209.TWO、6957.TW。,2026-09-23
紡織纖維,52,264724947.84626245,-240328250.21488428,-2126387738.8531585,251849940.99879694,10225177.938098907,2649828.9093666077,-188348831.46314,-84727330.77885056,32747912.027106285,-1860563922.3161683,-190572364.50162697,-75251452.0353632,502999997316.7337,0.0011303893003098164,0.007335609673130728,-0.015487360211172514,0.46153846153846156,0.6346153846153846,0.5,0.0005262921456430307,-0.0004777897644073985,-0.004227411034187729,2.032838567126318e-05,-0.0001684439984708363,-0.0003788715020243342,0.5,21.21951219512195,資金撤出,1449.TW、4417.TWO、4420.TWO,外資,-1860563922.3161683,291268684.49840534,0.7840216362787049,排除逆勢加碼，檢查既有部位風險,外資主導淨流出（20日 -18.6億）；近5日相較20日均速加速；流入廣度 50%；前三大帶動標的占絕對流量 78%；價格尚未確認（20日 -1.5%）。主要標的：1449.TW、4417.TWO、4420.TWO。,2026-09-23
綠能環保,45,-30593842.28460312,-681980310.8573198,-2309380969.1725407,-31926053.575553894,51299.99923706055,1280911.2917137146,-666376925.11936,-37292700.73471069,21689314.99675083,-2272166865.0194874,-142432540.239563,105218436.0865097,466522671796.6754,-0.0038556731812382553,0.016194614607763124,-0.0159616958168017,0.4666666666666667,0.5555555555555556,0.4444444444444444,-6.557846838778467e-05,-0.0014618374456076752,-0.0049502009415290284,1.0996249987057141e-07,-7.993759572517404e-05,-0.0003053067918243411,0.4444444444444444,14.878048780487807,資金撤出,6894.TWO、6869.TW、6873.TW,外資,-2272166865.0194874,-104635068.56418467,0.721792912878662,排除逆勢加碼，檢查既有部位風險,外資主導淨流出（20日 -22.7億）；近5日相較20日均速減速；流入廣度 44%；前三大帶動標的占絕對流量 72%；價格尚未確認（20日 -1.6%）。主要標的：6894.TWO、6869.TW、6873.TW。,2026-09-23
商品／期貨 ETF,9,207684212.676157,-86170015.48495293,-7277616115.975058,6535404.40864563,0.0,201148808.26751137,-59742814.316345215,0.0,-26427201.16860771,113762202.00782013,0.0,-7391378317.982878,58202422629.3042,0.00047258635057392497,0.00827469901723088,-0.013568599034369515,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.003568308728296656,-0.0014805228303601127,-0.12503974555022848,0.0,0.0,0.0,0.5555555555555556,14.390243902439025,資金撤出,00642U.TW、00693U.TW、00674R.TW,自營商,-7391378317.982878,1733234013.5088115,0.8713698715020576,排除逆勢加碼，檢查既有部位風險,自營商主導淨流出（20日 -73.9億）；近5日相較20日均速加速；流入廣度 56%；前三大帶動標的占絕對流量 87%；價格尚未確認（20日 -1.4%）。主要標的：00642U.TW、00693U.TW、00674R.TW。,2026-09-23
