ticker,asof,Name,Market,Industry,beta_252d,flow_foreign_persist,max_ret_5d,mom_12_1,mom_6m,resid_mom_12m,rev_yoy,size_ln_mcap,vol_60d,composite_score
7610.TW,2026-09-17,聯友金屬-創,上市,綠能環保,-0.9555375667229427,-0.6710219932125862,0.47935089032994305,4.837351595484529,4.341559303475887,4.2760033991071715,7.032774726291641,-1.676595733500524,-2.18386087843454,1.720002638090953
2905.TW,2026-09-17,三商,上市,貿易百貨,1.2192005782568434,0.837816692556379,0.5012131235163343,0.7091566704795949,0.8261996048694912,2.2556003051428988,7.075411928894508,-0.6997859564588931,0.3502699843985767,1.4527869924061925
6432.TWO,2026-09-17,今展科,上櫃,電子零組件,1.1832542543134748,1.5922360354408616,0.35877728460420805,3.1681722100258227,1.2782161346610534,4.2760033991071715,-0.44240386216568023,0.7153363666051773,-0.5043573797648744,1.2916927158696907
5328.TWO,2026-09-17,華容,上櫃,電子零組件,0.8247718728694757,0.837816692556379,0.35973424551354666,4.580100636685801,2.675023729348244,4.2760033991071715,-0.09585365157078202,-0.20230751171384911,-1.952432741199916,1.2558729635106745
5205.TWO,2026-09-17,中茂,上櫃,綠能環保,1.4871882844189424,,0.8614033024479018,-0.8768725771329857,-1.0969024532983007,-0.46201038603474553,7.075411928894508,1.6989947771592881,0.6015130348492062,1.161090738912977
1456.TW,2026-09-17,怡華,上市,建材營造,0.46391930507055346,0.08339734967189646,0.06889647858326269,0.2021516635780837,0.09537199090848274,0.6730276275871483,7.075411928894508,0.9865771201498055,0.6448008740069273,1.143728259827852
6486.TWO,2026-09-17,互動,上櫃,通信網路業,0.6724517003494773,0.08339734967189646,0.5329814430294704,0.006421593117491639,0.001384249585797347,1.0337710795763606,6.800839857190145,0.28989304284566575,0.8237030111669609,1.138315925170363
8043.TWO,2026-09-17,蜜望實,上櫃,電子零組件,0.06723264188965135,0.08339734967189646,0.026869624462959367,4.61947267274559,2.3853650321231576,4.2760033991071715,0.1306945571551808,-0.2973404361021867,-1.2161898257285944,1.1195005572583139
5386.TWO,2026-09-17,青雲,上櫃,電腦及週邊設備,-2.5273220406136643,-0.6710219932125862,-0.13037691421844275,4.837351595484529,0.15724698067850526,4.161349659441886,7.075411928894508,-0.5422672949994255,-2.329049305126326,1.1145914018143317
2596.TWO,2026-09-17,綠意,上櫃,建材營造,1.0262125564187352,-0.6710219932125862,-0.13861567458455804,0.03165117958045571,0.24309194076615373,1.1078159071296383,7.075411928894508,0.38496893676100025,0.6260912870448422,1.0761784520886877
3512.TWO,2026-09-17,皇龍,上櫃,建材營造,0.7926120746595804,-0.6710219932125862,0.8614033024479018,-0.2875425566183096,-0.09739904087743807,-0.000299984341431177,7.075411928894508,0.6889344875265234,1.2002825726564779,1.062486754570581
2408.TW,2026-09-17,南亞科,上市,半導體業,-3.3522169066009355,0.08339734967189646,-0.9551630291658204,4.837351595484529,4.341559303475887,4.2760033991071715,4.5096061686143,-3.114915475006442,-1.5752738714632473,1.0055942815685932
5515.TW,2026-09-17,建國,上市,建材營造,0.9076324173889055,-0.6710219932125862,0.77156765022836,2.6750179877992326,1.3950370536995886,4.2760033991071715,-0.37827610423383096,-0.2474743056588523,0.20192956818043953,0.9922684081442699
6834.TW,2026-09-17,天二科技,上市,電子零組件,-1.477810446468657,0.08339734967189646,-0.1827525790119223,4.726991131944177,4.341559303475887,3.5331496376281715,0.6480381617992237,-0.18404765207557394,-2.865193172190062,0.9581479705303487
8926.TW,2026-09-17,台汽電,上市,油電燃氣,0.2778189055562994,0.837816692556379,0.0169843565680309,0.279959509865547,0.9763252675886585,0.33233225639655595,7.075411928894508,-1.2239330769657648,0.014596138704770441,0.9541457754627761
8091.TWO,2026-09-17,翔名,上櫃,半導體業,-0.12940001350492183,3.101074721209827,0.00993705708355519,1.9433357838455652,1.810459973594999,2.2155990090231916,0.2780633880290032,-0.3758468862299389,-0.6336511509337942,0.9132857646797206
5529.TWO,2026-09-17,鉅陞,上櫃,建材營造,1.103513184346099,-0.6710219932125862,-0.3420111505754055,-0.5614059339760701,-0.12444487457806007,0.3631433798486671,7.075411928894508,0.5767692927379957,0.7301044001167608,0.9055620259557675
1438.TW,2026-09-17,三地開發,上市,建材營造,1.5699190716017906,-0.6710219932125862,0.44668757269681403,-0.873750835391848,-1.013033365926613,0.3074642628932898,7.075411928894508,0.6263391860307951,0.612584266717523,0.8978444549226303
5525.TW,2026-09-17,順天,上市,建材營造,1.106673772644519,-0.6710219932125862,0.8614033024479018,-0.6518672456809079,-0.57718401538014,-0.32013215033748316,7.075411928894508,-0.027086608551932994,1.2212458940369033,0.8908269872067535
5206.TWO,2026-09-17,坤悅,上櫃,建材營造,0.6367566970295041,0.837816692556379,0.8614033024479018,-0.7271049871983207,-0.6630939294295525,-0.8326332206628219,7.075411928894508,0.33627058260603826,0.40745815380639544,0.8813650244500033
6654.TWO,2026-09-17,天正國際,上櫃,其他電子業,-0.8007568695983347,0.08339734967189646,0.20374094128962017,0.7994820124837924,1.0825278860412613,1.1384070295650546,6.999327030134913,-0.1368818785381897,-1.497926133977962,0.8745908185635615
8150.TW,2026-09-17,南茂,上市,半導體業,-2.80269104854535,0.08339734967189646,-0.5045131719940483,4.837351595484529,4.341559303475887,4.2760033991071715,-0.052749283600131626,-1.3850705258016265,-0.9695284083150912,0.8693065788314707
2059.TW,2026-09-17,川湖,上市,電子零組件,-0.6494099535603273,-0.6710219932125862,-0.41897713500844047,3.3808707373645044,4.264656965598009,2.721197782954545,2.637936564069276,-3.114915475006442,-0.48274674724322014,0.8519545273283687
