Ticker,Name,Market,Foreign 20D value,Trust 20D value,Dealer 20D value,20D net value,20D net shares,Trust 20D shares,Foreign 5D value,Trust 5D value,Dealer 5D value,5D net value,5D net shares,Trust 5D shares,Foreign 1D value,Trust 1D value,Dealer 1D value,1D net value,1D net shares,Trust 1D shares,Industry,Asset type,Issued shares,Detailed industry,Investment theme,Supply-chain role,Close,Market cap proxy,1D flow intensity,5D flow intensity,20D flow intensity,Trust 1D intensity,Trust 5D intensity,Trust 20D intensity,1D return,5D return,20D return,Flow score,Stage,Signal date
6672.TW,騰輝電子-KY,上市,634139282.5,23337000.0,19966915.5,677443198.0,2289567.0,79000.0,359332856.5,29530000.0,11336224.0,400199080.5,1372796.0,101000.0,425328042.0,604000.0,15849564.0,441781606.0,1462853.0,2000.0,電子零組件,股票,81620212,電子零組件,電子零組件,待進一步分類,302.0,24649304024.0,0.01792268072030982,0.01681931431395939,0.02805147087831627,2.4503734442640262e-05,0.0012374385893533333,0.0009678975104842904,-0.014681892332789603,0.03424657534246567,0.06713780918727918,94.54232666767446,資金累積＋價格確認,2026-09-18
6271.TW,同欣電,上市,968020913.5,166542000.0,18636036.0,1153198949.5,4973584.0,681000.0,330206800.5,47880000.0,-2279858.0,375806942.5,1660510.0,210000.0,64729786.5,0.0,4297617.0,69027403.5,300773.0,0.0,半導體業,股票,209058024,半導體業,半導體業,待進一步分類,229.5,47978816508.0,0.0014387058398676914,0.007942818784128563,0.023790447765831748,0.0,0.0010045058112670194,0.003257468845108763,-0.010775862068965525,0.04318181818181821,0.15909090909090917,94.19558030380071,資金累積＋價格確認,2026-09-18
5269.TW,祥碩,上市,1692968385.0,267846540.0,-11821630.0,1948993295.0,1308963.0,188804.0,1774856960.0,79012565.0,92749855.0,1946619380.0,1324124.0,57587.0,476899020.0,-2060110.0,32671730.0,507510640.0,339472.0,-1378.0,半導體業,股票,74156359,半導體業,半導體業,待進一步分類,1495.0,110863756705.0,0.00457778678157594,0.017855838903849095,0.017651392512407466,-1.858235785281745e-05,0.000776561858976922,0.0025460257561998154,0.0,0.1368821292775666,0.07942238267148016,94.17697764449514,資金累積＋價格確認,2026-09-18
3034.TW,聯詠,上市,7853156880.0,960233509.0,235648055.0,9049038444.0,16561874.0,1759629.0,2258374390.0,345735108.0,171046397.0,2775155895.0,4989186.0,627976.0,1027953738.0,120235608.0,87532902.0,1235722248.0,2214556.0,215476.0,半導體業,股票,608511469,IC 設計,半導體 IC 設計,晶片設計,558.0,339549399702.0,0.0036393003465313486,0.0081990007652592,0.02721702850928517,0.0003541034326832055,0.001031987122661775,0.002891694059426183,0.018248175182481674,0.02010968921389389,0.09626719056974453,94.14299440973095,資金累積＋價格確認,2026-09-18
7828.TWO,創新服務,上櫃,2012740010.0,123324250.0,-71301425.0,2064762835.0,1018353.0,64260.0,617801855.0,4516500.0,22692435.0,645010790.0,298628.0,2370.0,651695000.0,0.0,16934125.0,668629125.0,314649.0,0.0,半導體業,股票,40493911,半導體業,半導體業,待進一步分類,2125.0,86049560875.0,0.007770279339034454,0.007374639609397077,0.025148299456676338,0.0,5.8527317847861126e-05,0.0015869052510141587,0.03911980440097795,0.07594936708860756,0.2318840579710144,94.09296204032378,資金累積＋價格確認,2026-09-18
8150.TW,南茂,上市,2773240937.358017,30479700.21057129,171266755.93497467,2974987393.503563,31858086.0,341000.0,1442598444.2589645,6346200.096130371,214041733.5195465,1662986377.8746414,17691295.0,75000.0,1272821006.0,0.0,231191120.0,1504012126.0,16000129.0,0.0,半導體業,股票,704523126,半導體封裝測試,先進封裝／測試,封裝與測試,94.0,66225173844.0,0.022710580262769117,0.025111020983007448,0.04521936161397206,0.0,0.00010645498668840006,0.0004840153394765923,0.04677056576291472,0.08419842339920436,0.02732240437158473,94.09210405603716,資金累積＋價格確認,2026-09-18
2303.TW,聯電,上市,10795976669.5,13674745901.0,2519091119.0,26989813689.5,187005703.0,94821488.0,5419239161.5,8652965169.5,1190345867.5,15262550198.5,101856383.0,59319667.0,4425028608.0,2126309328.0,557511708.0,7108849644.0,45569549.0,13630188.0,半導體業,股票,12570093899,晶圓代工,成熟製程,成熟製程晶圓製造,156.0,1960934648244.0,0.003625235369452987,0.008103072564008697,0.014877033099559983,0.0010843346206892166,0.004719110889435688,0.007543419226768339,0.0795847750865053,0.11032028469750887,0.28395061728395055,94.07602149343492,資金累積＋價格確認,2026-09-18
2377.TW,微星,上市,4189518783.5,343504990.0,23891548.5,4556915322.0,29119533.0,2162900.0,751134092.0,117879042.0,45834520.5,914847654.5,5970144.0,768212.0,47549660.0,-2170000.0,-509485.0,44870175.0,289485.0,-14000.0,電腦及週邊設備,股票,844856199,電腦及週邊設備,電腦及週邊設備,待進一步分類,155.0,130952710845.0,0.00034264410954508483,0.007066461732856386,0.034466851322706576,-1.6570867345911492e-05,0.0009092813675383827,0.0025600806416051403,0.003236245954692629,0.04026845637583887,0.06739027549758614,93.58671231192595,資金累積＋價格確認,2026-09-18
6727.TWO,亞泰金屬,上櫃,209251012.5,493370000.0,-36504931.0,666116081.5,1324631.0,972000.0,77531962.5,0.0,-878681.0,76653281.5,162820.0,0.0,5637512.0,0.0,1453208.0,7090720.0,14560.0,0.0,電子零組件,股票,26884177,電子零組件,電子零組件,待進一步分類,487.0,13092594199.0,0.0005415825078074736,0.006056350544039343,0.049271770528813284,0.0,0.0,0.03615509598824617,-0.021105527638190957,-0.03944773175542404,0.025263157894736876,93.2826478806488,資金累積＋價格確認,2026-09-18
6770.TW,力積電,上市,16767585172.922012,841647163.8678665,1196666842.5379639,18805899179.327843,253503387.0,11503500.0,6763984626.263344,313538366.7446289,720861557.789856,7798384550.797829,102172749.0,4265009.0,5748700582.0,281422666.0,576566264.0,6606689512.0,89279588.0,3803009.0,半導體業,股票,4712080856,晶圓代工,晶圓製造,晶圓製造,74.0,348693983344.0,0.018946955862677584,0.021683148511745316,0.05379860718586956,0.0008070763461449397,0.000905122201918345,0.0024412781426176784,0.03351957509812453,0.04667614136070841,-0.004782198937300475,93.05026970791764,資金累積、價格未確認,2026-09-18
5347.TWO,世界,上櫃,4774353142.5,201680395.0,425207730.5,5401241268.0,33059768.0,1220809.0,3406236117.5,-630172800.0,477479803.5,3253543121.0,19676014.0,-4006025.0,1130586272.0,97863700.0,49952584.0,1278402556.0,7432573.0,568975.0,半導體業,股票,1878502192,晶圓代工,晶圓製造,晶圓製造,172.0,323102377024.0,0.003956648563761697,0.010474309843126337,0.01759900421771773,0.0003028875890712828,-0.002132563388565905,0.0006498842562968912,0.06832298136645965,0.09206349206349196,0.06172839506172845,92.30786816161454,資金累積＋價格確認,2026-09-18
